,source,target,value
0,The Russian Revolution and Communism           ,the Pacific       1.3.7.1 Background           1.3.8 Japanese Expansion         ,3
1,Russians,Serbian,6
2,France,Russians,4
3,France,Russia,6
4,Germany,Russia,21
5,Austria-Hungary,Germany,6
6,Austria-Hungary,Bulgaria,6
7,Bulgaria,the Ottoman Empire,6
8,Russia,the Ottoman Empire,5
9,Bolshevik Russia,Russia,5
10,Bolshevik Russia,Germany,6
11,Germany,the Ottoman Empire,10
12,Division of Austria-Hungary,Germany,4
13,Czechoslovakia,Germany,9
14,Czechoslovakia,The Russian Revolution,5
15,Russian Revolution,The Russian Revolution,5
16,Russian Revolution,The Russian Revolution of 1917,6
17,Germany,Italy,21
18,Germany,the United States,27
19,Austria,Germany,11
20,Czechoslovakia,Spain,2
21,Czechoslovakia,France,6
22,France,Poland,11
23,France,Germany,22
24,Germany,Poland,26
25,Estonia,Germany,5
26,Estonia,Latvia,12
27,Latvia,Lithuania,6
28,Eastern Poland,Lithuania,6
29,Eastern Poland,Finland,6
30,Finland,Germany,5
31,Belgium,Poland,5
32,Belgium,Netherlands,6
33,Luxembourg,Netherlands,6
34,Belgium,Luxembourg,4
35,Belgium,Denmark,6
36,Denmark,Norway,12
37,Denmark,Sweden,5
38,Germany,Sweden,6
39,France,Italy,4
40,Greece,Russian,5
41,Albania,Greece,12
42,Greece,Ukraine,2
43,Belarus,Ukraine,6
44,Belarus,Libya,2
45,Egypt,Libya,16
46,Egypt,Iraq,5
47,Japanese,the United States,13
48,Japan,the United States,16
49,Germany,Japan,17
50,Japan,Russia,12
51,Italy,the United States,6
52,Morocco,the United States,5
53,Algeria,Morocco,6
54,Algeria,Italy,5
55,Japan,Japanese,78
56,Japan,Japan.[93],10
57,Japanese,the Second Sino-Japanese War,5
58,Japan,the Second Sino-Japanese War,5
59,Germany,Japanese,11
60,Japan,Thailand,6
61,Singapore,Thailand,6
62,Japanese,Singapore,5
63,Japan,New Guinea,11
64,New Guinea,the Solomon Islands,6
65,Philippines,the Solomon Islands,6
66,Philippines,United States Army Forces,6
